"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-01",,,"83","H,,S","92",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-02","0.00","D,,S","84","H,,S","93",",,S","76",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-03",,,"82","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-04","0.04",",,S","85","H,,S","92",",,S","74",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-05","0.00",",,S","82","H,,S","90",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-06","0.02",",,S","82","H,,S",,,"74",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-07","0.00",",,S","85","H,,S","91",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-08",,,"81","H,,S","90",",,S","76",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-09","0.00",",,S","82","H,,S","91",",,S","65",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-10","0.00",",,S","82","H,,S","91",",,S","78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-11",,,"83","H,,S","91",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-12",,,"83","H,,S","91",",,S","76",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-13","0.00","D,,S","83","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-14","0.00","D,,S","83","H,,S","91",",,S","78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-15","0.00",",,S","85","H,,S",,,"75",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-16",,,"82","H,,S","90",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-17",,,"83","H,,S",,,"75",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-18","0.00","D,,S","83","H,,S","91",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-19",,,"83","H,,S",,,"78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-20",,,"81","H,,S","91",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-21",,,"83","H,,S",,,"78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-22",,,"82","H,,S","90",",,S","78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-23","0.00","D,,S","84","H,,S","89",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-24",,,"82","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-25","0.00","D,,S","84","H,,S","90",",,S","75",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-26",,,"82","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-27",,,"83","H,,S","91",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-28","0.00","D,,S","83","H,,S","93",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-29",,,"83","H,,S",,,"70",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-30","0.02",",,S","81","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-01-31","0.47",",,S","84","H,,S",,,"73",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-01","0.01",",,S","81","H,,S","90",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-02","0.00",",,S","83","H,,S","91",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-03",,,"82","H,,S","92",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-04",,,"86","H,,S","94",",,S","75",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-05",,,"83","H,,S",,,"76",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-06",,,"86","H,,S",,,"79",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-07","0.04",",,S","79","H,,S","82",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-08","0.00",",,S","80","H,,S","88",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-09","0.00","D,,S","83","H,,S","90",",,S","77",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-10",,,"85","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-11","0.00","D,,S","85","H,,S",,,"77",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-12",,,"85","H,,S",,,,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-13",,,"81","H,,S","89",",,S","74",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-14","0.00",",,S","82","H,,S",,,"78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-15","0.00",",,S","84","H,,S","91",",,S","77",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-16","0.00","D,,S","84","H,,S","90",",,S","78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-17","0.00","D,,S","82","H,,S","92",",,S","78",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-18","0.00","D,,S","81","H,,S","92",",,S","76",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-19",,,"81","H,,S","92",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-20",,,"85","H,,S","92",",,S","77",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-21",,,"85","H,,S","93",",,S","74",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-22","0.00","D,,S","83","H,,S","91",",,S","70",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-23","0.00","D,,S","81","H,,S","91",",,S","72",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-24","0.00","D,,S","81","H,,S","92",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-25","0.00","D,,S","84","H,,S",,,"69",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-26",,,"80","H,,S","93",",,S",,
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-27","0.00",",,S","82","H,,S","94",",,S","71",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-02-28","0.00","D,,S","82","H,,S","92",",,S","73",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-03-01","0.04",",,S","84","H,,S",,,"74",",,S"
"TZ000063894","DAR ES SALAAM AIRPORT, TZ","-6.867","39.2","53.0","1987-03-02","0.00",",,S","83","H,,S",,,,
